X,Y,TIME,EVENT ID
847,184,1653544828,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
855.3333333,184,1653544829,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
859.5,184,1653544829,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
210.5,244,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
209.3333333,242.0952381,1653544828,1
862,184,1653544830,1
549.3333333,285.6666667,1653544829,2
